CLUE,ANS,POS,FOUND IN
Fashion - style ,mode,6,Modern wardrobe
Swell ,balloon,8,Bloom (in the context of a balloon)
Noise of an explosion ,bang,13,Sudden loud bang
Cheroot ,cigar,1,Cigarette roll
The islands of eastern Oceania ,polynesia,3,"Polynesia: A subregion of Oceania, characterized by the presence of numerous large island chains such as Hawaii, Samoa, Tonga, and Easter Island (Rapa Nui)."
Wintry missile ,snowball,2,Snowball-like missile
Map-line showing places with equal air pressure ,isobar,1,"To create an accurate and informative isobaric map, meteorologists gather data from weather stations and satellites to determine the barometric pressures recorded throughout different locations on Earth's surface."
Pampas cowboy ,gaucho,2,Gaucho-style horseman
Small biting fly,midge,3,Midges
Agile ,nimble,7,Lightweight and nimble (in some contexts)
Driving force ,impetus,7,Impetus for action
Mankind ,human race,9,"Human race, collectively"
Depart; permission ,leave,5,"Discharge: To permit or allow an individual to leave a duty or responsibility, similar to granting permission to depart."
Land once belonging to a nobleman,manor,6,Hereditary manor
Earnest request ,plea,2,Genuine plea
"Songwriting partnership, Rodgers and -- ",hart,10,Sondheim-Hartman (Bernard Arnault and Richard Hartman for their business ventures)
Fearful expectation ,dread,3,Imminent dread
