CLUE,ANS,POS,FOUND IN
Soldier on guard ,sentry,14,Sentry in action
Provide goods or services for ,cater,5,Catering business
Christian sacrament requiring pouring of water ,baptism,1,"During the baptismal ceremony, one of the key rituals involves the pouring or sprinkling of water onto the individual's head or body"
Regions at the top and bottom of the world ,polar,19,Polar bear habitats (typically located at higher latitudes near the poles)
Privilege ,right,2,Special rights
Access ,entry,2,Entry allowed
Come out again ,reemerge,13,Noticeable reemergence
Definite,certain,1,Certainly
Decayed areas in teeth ,caries,2,Dental caries
Friction or division in church organisation ,schism,1,"Schism: A split within the church due to disagreements on doctrine, practice, or leadership."
Look up to ,admire,2,Admirer
"Element 22, makes strong non-corroding alloys ",titanium,1,"Titanium - Known for its high strength-to-density ratio, corrosion resistance, and ability to be alloyed with other elements to produce durable materials."
In preference to ,above,6,Choice above others
"Circular band of flowers and leaves, often seen on graves ",wreath,3,Garland (a decorative wreath-like structure often used in celebrations and could symbolize honor at burial sites)
Relativity scientist ,einstein,2,"General relativity expert: An individual highly skilled in understanding Einstein's general theory of relativity and its implications on space-time, gravity, and cosmology."
Cards taken in excess of the contract in Bridge ,overtrick,1,Overtricks
Scottish family grouping ,clan,1,"Clan: A Scottish family grouping, often with a common surname and shared ancestry tracing back through generations."
Common fund; game ,pool,1,Treasury pool
